sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg
1,5629.0,1.17,1.02,0.414,0.091,4.31
1,5400.0,0.97,0.93,0.251,-0.146,4.43
1,6457.0,1.74,1.3,-0.113,0.668,4.07
1,5835.0,1.86,1.21,0.1,0.555,3.98
1,5872.0,1.67,1.3,0.208,0.473,4.11
1,6002.0,1.88,1.25,0.035,0.615,3.99
1,6101.12,1.95,1.15,0.137,0.675,3.92
1,6406.0,2.55,1.64,-0.08,0.939,3.85
1,4221.54,0.79,0.66,-0.011,-0.743,4.46
1,4508.0,0.67,0.68,-0.059,-0.779,4.62
1,7668.59,1.91,1.8,0.176,1.055,4.13
1,7394.0,1.93,1.65,-0.069,1.0,4.11
1,6532.23,1.99,1.35,0.233,0.814,3.97
1,6366.0,2.0,1.51,0.28,0.77,4.01
1,8450.0,1.86,1.89,-0.059,1.223,4.18
1,6401.79,1.43,1.28,0.048,0.491,4.24
1,6193.0,1.3,1.19,0.08,0.35,4.29
1,6350.0,1.34,1.28,0.12,0.418,4.29
1,6183.5,0.91,1.18,0.1,0.041,4.59
1,5880.0,1.1,1.1,0.15,0.117,4.39
1,6060.0,1.44,1.0,-0.39,0.403,4.12
1,6408.0,2.21,1.49,-0.1,0.863,3.92
1,5311.0,0.92,0.87,0.0,-0.204,4.45
1,5738.0,1.24,0.97,-0.1,0.173,4.24
1,5846.0,1.09,1.13,0.3,0.093,4.42
1,5600.0,1.02,1.04,0.28,-0.032,4.44
1,5227.0,0.9,0.88,0.15,-0.268,4.48
1,4724.49,0.79,0.76,0.024,-0.549,4.52
1,4803.0,0.69,0.76,0.0,-0.646,4.64
1,5780.0,1.2,1.12,0.28,0.155,4.33
1,6346.0,1.17,1.21,0.0,0.292,4.38
1,6125.0,1.12,1.07,-0.229,0.19,4.37
1,5715.0,1.11,0.99,0.02,0.068,4.35
1,6071.0,2.04,1.3,-0.02,0.704,3.94
1,6438.0,1.74,1.42,0.09,0.669,4.11
1,5498.0,0.92,0.93,0.01,-0.157,4.48
1,5670.0,1.07,1.03,0.16,0.029,4.39
1,6351.0,1.4,1.21,-0.157,0.456,4.22
1,5750.4,1.16,1.03,-0.1,0.12,4.32
1,5943.0,1.06,1.09,0.06,0.097,4.42
1,6050.0,1.87,1.27,0.0,0.619,4.0
1,5700.0,1.1,1.1,0.39,0.057,4.4
1,5659.0,1.02,1.06,0.29,-0.018,4.45
1,5380.0,0.98,0.95,0.25,-0.14,4.43
1,5435.56,0.94,0.95,0.245,-0.157,4.47
1,6300.0,1.43,1.32,0.21,0.465,4.24
1,6149.0,1.16,1.22,0.28,0.215,4.4
1,5326.0,0.88,0.84,0.051,-0.256,4.48
1,5732.0,1.1,0.89,-0.102,0.072,4.3
1,6572.0,1.62,1.38,0.0,0.64,4.16
1,5403.0,0.93,1.0,0.43,-0.187,4.51
1,6460.0,2.26,1.56,0.01,0.903,3.92
1,6424.0,1.71,1.5,0.47,0.653,4.14
1,6060.0,1.48,1.27,0.22,0.425,4.2
1,5099.0,0.81,0.84,0.05,-0.398,4.54
1,5080.0,0.85,0.86,0.32,-0.398,4.51
1,6450.0,1.31,1.27,0.02,0.425,4.3
1,5495.0,0.85,0.92,-0.06,-0.23,4.54
1,4512.0,0.66,0.67,-0.113,-0.796,4.63
1,4546.0,0.72,0.73,0.186,-0.709,4.59
1,4405.0,0.7,0.71,0.208,-0.785,4.6
1,5304.0,0.87,0.94,0.19,-0.268,4.53
1,5790.35,1.02,1.04,-0.284,0.024,4.44
1,5702.0,1.32,1.1,0.396,0.212,4.24
1,5621.0,1.23,1.05,0.37,0.115,4.2
1,6214.0,1.13,1.2,0.108,0.229,4.41
1,6536.0,2.2,1.57,0.19,0.898,3.95
1,5587.0,0.96,1.03,0.268,-0.094,4.48
2,5670.0,1.04,1.04,0.18,-0.004,4.42
1,5688.0,1.46,1.1,0.335,0.3,4.15
1,5542.0,1.66,1.08,0.247,0.369,4.03
1,5416.0,0.93,0.9,0.133,-0.173,4.45
1,5627.0,1.07,0.93,0.081,0.012,4.35
1,6554.0,2.11,1.56,0.22,0.867,3.98
1,6277.0,1.31,1.26,0.199,0.377,4.3
1,6626.0,1.84,1.41,-0.017,0.767,4.06
1,6594.0,1.44,1.44,0.332,0.547,4.28
1,6147.0,1.75,1.35,0.21,0.592,4.08
1,5704.8,2.0,1.02,-0.25,0.584,3.84
1,5137.0,0.88,0.89,0.377,-0.318,4.5
1,4964.9,0.78,0.82,0.256,-0.475,4.56
1,4985.0,0.81,0.85,0.25,-0.434,4.54
1,7930.0,1.88,1.78,0.041,1.079,4.17
1,3405.0,0.48,0.49,0.17,-1.56,4.77
1,4656.1,0.72,0.73,0.099,-0.659,4.59
1,3776.9,0.58,0.6,0.514,-1.216,4.7
1,3790.4,0.58,0.6,0.522,-1.197,4.68
1,4016.0,0.63,0.66,0.322,-1.038,4.67
1,4071.0,0.64,0.66,0.253,-0.992,4.64
1,5366.0,1.5,1.03,0.34,0.23,4.09
1,4861.0,9.3,2.4,0.15,1.633,2.89
1,3936.18,0.72,0.61,-0.754,-0.95,4.51
1,5542.0,1.03,1.0,0.3,-0.047,4.27
1,5532.88,1.06,0.97,0.25,-0.026,4.38
6,5901.36,1.18,1.07,0.079,0.181,4.32
1,5190.0,0.79,0.9,0.27,-0.387,4.31
1,5109.55,0.88,0.86,0.15,-0.326,4.49
1,5667.88,1.24,1.01,0.284,0.157,4.25
1,5631.0,1.21,1.1,0.3,0.124,4.08
1,5330.0,0.83,0.93,0.096,-0.334,4.37
1,5339.0,0.8,0.9,0.05,-0.331,4.37
1,5276.0,0.84,0.9,0.05,-0.31,4.55
2,4830.0,6.3,1.95,0.3,1.292,3.0
1,5630.0,0.96,0.89,-0.33,-0.066,4.45
1,5672.0,0.95,1.01,-0.27,-0.074,4.49
1,5458.43,0.95,0.95,0.16,-0.141,4.46
1,5054.0,4.4,1.68,0.19,1.064,3.5
1,5250.0,0.9,0.9,0.22,-0.257,4.48
1,5017.0,0.78,0.83,-0.02,-0.46,4.57
1,6589.17,1.47,1.37,0.29,0.562,4.24
1,5990.73,2.28,1.1,-0.222,0.782,3.76
1,6072.0,2.22,1.28,-0.19,0.786,3.79
1,4820.65,0.74,0.78,-0.07,-0.573,4.59
2,4944.24,0.76,0.81,0.029,-0.51,4.59
2,4956.0,0.77,0.83,0.1,-0.469,4.6
1,4738.0,11.12,1.22,-0.32,1.77,2.42
1,4877.0,11.0,2.3,-0.15,1.778,2.85
1,5792.0,0.94,0.89,-0.25,-0.108,4.36
1,5792.0,0.95,1.04,-0.25,-0.04,4.5
1,5923.0,1.08,1.05,-0.05,0.108,4.44
1,5877.56,1.12,1.06,-0.059,0.128,4.37
