sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg
1,6355.07,1.29,1.26,0.066,0.389,4.32
1,5950.00,1.13,0.95,-0.300,,4.31
1,5950.00,1.29,,,,4.33
1,6397.00,0.85,1.13,0.030,,4.66
1,5075.00,0.79,0.89,0.260,,4.65
1,5025.00,0.89,0.80,0.060,,4.47
1,5025.00,0.55,0.84,0.060,-0.762,4.88
1,5075.00,0.79,0.89,0.260,,
1,4080.38,0.87,,,-0.726,
1,5075.00,0.74,0.90,0.260,,4.65
1,4921.00,,,0.150,,4.09
1,6343.00,1.59,1.26,0.040,0.564,4.14
1,6037.00,1.41,,,0.378,
1,,1.33,1.23,,,
1,6343.00,1.36,1.56,0.040,,4.27
1,6440.00,1.37,1.27,-0.030,,
1,6440.00,1.37,1.27,-0.030,,4.22
1,6440.00,1.37,1.26,-0.030,,4.26
1,5675.00,1.12,1.08,0.160,,
1,5675.00,1.04,,,,4.37
1,5536.10,0.94,,,-0.128,
1,5715.00,1.04,1.02,0.170,0.014,4.42
1,5675.00,1.12,1.08,0.160,,4.38
1,5675.00,1.05,1.02,0.160,,4.41
1,5715.00,0.79,0.97,0.170,,4.66
1,,1.05,1.00,,0.070,4.38
1,5945.00,1.01,1.09,0.010,,4.46
1,5945.00,1.14,,,,4.47
1,5305.45,1.29,,,0.073,
1,5914.00,1.14,1.08,,0.154,4.36
1,5945.00,1.01,1.09,0.010,,
1,5945.00,1.27,1.09,0.010,,4.26
1,5826.00,1.42,1.05,,0.319,4.16
1,6035.00,1.21,1.13,0.050,,4.35
1,4947.25,1.56,,,0.119,
1,6040.00,1.21,1.13,0.050,,
1,6035.00,1.19,1.12,0.050,,4.34
1,4870.00,1.24,0.79,,-0.112,4.15
1,5650.00,1.19,1.10,0.190,,
1,4053.68,1.23,,,-0.435,
1,5650.00,1.19,1.10,0.190,,4.36
1,5740.00,1.59,1.04,0.000,,
1,5740.00,1.59,1.04,0.000,,4.40
1,5303.00,2.37,,,,
1,5740.00,1.62,1.04,0.000,,4.04
1,3841.25,2.64,,,0.134,
1,5063.02,1.00,,,-0.226,
1,5525.00,0.93,0.97,,-0.135,4.48
1,5440.00,0.93,,,,4.42
1,5440.00,1.00,0.95,-0.100,,
1,5440.00,1.00,0.95,-0.100,,4.40
1,,0.88,0.88,,-0.170,4.49
1,5440.00,0.92,0.86,-0.100,,4.44
1,4915.50,1.79,,,0.225,
1,6090.00,1.64,,,,4.09
1,5758.00,1.64,1.03,,0.425,4.02
1,6090.00,1.65,1.21,-0.020,0.544,4.07
1,6090.00,1.58,1.18,-0.020,,4.12
1,6090.00,1.65,1.21,-0.020,,
1,5697.00,0.71,0.89,-0.090,,4.73
1,5696.00,,,0.030,,4.42
1,5625.00,0.90,0.97,0.000,,
1,5575.00,,,-0.040,,
1,3655.33,0.51,,,-1.374,
1,5625.00,0.91,0.96,,,
1,5529.00,0.94,,,,4.48
1,,,,,,
1,4990.87,0.92,,,-0.321,
1,,,,,,
1,5620.00,,,-0.030,,4.66
1,3703.00,0.53,0.52,,-1.331,4.72
1,5625.00,0.90,0.97,0.000,,4.30
1,5696.00,0.91,1.02,0.030,,4.53
1,5529.00,0.94,0.97,-0.040,-0.131,4.48
1,5598.00,0.90,1.00,0.040,,4.53
2,5404.00,1.30,0.94,,0.113,4.18
2,,,1.14,,,
2,4947.50,1.37,,,0.006,
2,5880.00,1.02,1.14,0.140,,4.20
2,5880.00,1.02,1.14,0.140,,
2,5880.00,1.30,,,,4.48
2,5880.00,1.34,1.11,0.140,,4.23
2,,1.16,1.10,,0.170,4.35
1,5031.74,,,,,
1,6200.00,1.95,1.29,0.000,,
1,6200.00,1.95,1.29,0.000,,3.70
1,5709.00,1.18,1.02,,0.123,4.30
1,5939.00,1.14,1.10,0.170,,4.36
1,5245.52,1.23,,,0.014,
1,5900.00,1.74,1.12,0.050,,4.01
1,4220.00,2.07,,,0.087,
1,5900.00,1.61,1.14,0.050,,4.30
1,5900.00,1.61,1.14,0.050,,
1,5426.00,2.12,0.95,,0.544,3.76
2,5026.25,0.66,,,-0.601,
2,4760.00,0.82,0.77,,-0.504,4.49
2,4950.00,0.86,0.91,0.300,,4.55
1,5018.00,1.56,,,0.141,
1,6284.00,1.39,1.23,,0.433,4.24
1,6040.00,1.19,1.09,-0.010,,
1,6040.00,1.19,1.09,-0.010,,4.31
1,5590.00,1.79,1.09,0.010,,
1,5590.00,1.79,1.09,0.010,,3.99
1,4801.30,,,,,
1,5900.00,1.08,1.05,-0.100,,4.40
1,5900.00,1.08,1.05,-0.100,,
1,5665.00,1.38,1.01,,0.250,4.16
1,4627.75,1.28,,,-0.166,
1,5150.00,1.78,1.01,0.150,,3.60
1,4589.66,2.47,,,0.388,
1,5177.00,2.62,,,,
1,5150.00,1.78,1.01,0.150,,
1,5268.00,1.08,0.90,,-0.094,4.33
1,5260.00,0.90,0.97,0.200,,
1,5260.00,0.90,0.97,0.200,,4.30
1,4959.67,0.91,,,-0.347,
1,6558.00,1.53,1.36,0.140,0.589,4.20
1,6558.00,1.44,1.41,0.140,,4.25
